164441,T-Slot 40 x 40mm - 40 Series - HEAVY Duty - Black,LR-40-8-4040-B-3050,S01,39,115,
140827,T-Slot 40 x 40mm - 40 Series - HEAVY Duty - Silver,LR-40-8-4040-S-1000,Y-20,76,25.06,
140827,T-Slot 40 x 40mm - 40 Series - HEAVY Duty - Silver,LR-40-8-4040-S-1500,Y-19,328,37.59,
140827,T-Slot 40 x 40mm - 40 Series - HEAVY Duty - Silver,LR-40-8-4040-S-3050,S01,40,81.44,
164475,T-Slot 40 x 80mm - 40 Series - HEAVY Duty - Black,LR-40-8-4080-B-3050,S01,95,239.99,
140742,T-Slot 40 x 80mm - 40 Series - HEAVY Duty - Silver,LR-40-8-4080-S-1000,Y-20,55,66.13,
140742,T-Slot 40 x 80mm - 40 Series - HEAVY Duty - Silver,LR-40-8-4080-S-1500,Y-19,101,99.2,
140742,T-Slot 40 x 80mm - 40 Series - HEAVY Duty - Silver,LR-40-8-4080-S-3050,S01,96,201.74,
348,V-Slot 20 x 20mm - Black - 20 Series,LR-2020-B-1000,,-4,18.38,10.5
348,V-Slot 20 x 20mm - Black - 20 Series,LR-2020-B-1500,,21,26.51,15.15
348,V-Slot 20 x 20mm - Black - 20 Series,LR-2020-B-3050,,47,56.96,
348,V-Slot 20 x 20mm - Black - 20 Series,LR-2020-B-500,,386,9.19,5.25
14,V-Slot 20 x 20mm – 20 Series,LR-2020-S-1000,,97,15.59,8.91
14,V-Slot 20 x 20mm – 20 Series,LR-2020-S-1500,,329,23.42,13.38
14,V-Slot 20 x 20mm – 20 Series,LR-2020-S-3050,,-9,48.68,
14,V-Slot 20 x 20mm – 20 Series,LR-2020-S-500,,231,7.82,4.47
324,V-Slot 20 x 40mm - 20 Series,LR-2040-S-1000,,570,23.52,11.16
324,V-Slot 20 x 40mm - 20 Series,LR-2040-S-1500,,817,34.49,20.36
324,V-Slot 20 x 40mm - 20 Series,LR-2040-S-3050,,60,73.56,
324,V-Slot 20 x 40mm - 20 Series,LR-2040-S-500,,146,12.6,5.7
352,V-Slot 20 x 40mm - Black - 20 Series,LR-2040-B-1000,,51,24.68,12.48
352,V-Slot 20 x 40mm - Black - 20 Series,LR-2040-B-1500,,114,35.96,18
352,V-Slot 20 x 40mm - Black - 20 Series,LR-2040-B-3050,,43,77.76,
352,V-Slot 20 x 40mm - Black - 20 Series,LR-2040-B-500,,0,13.13,
332,V-Slot 20 x 60mm - 20 Series,LR-2060-S-1000,,115,33.6,17.04
332,V-Slot 20 x 60mm - 20 Series,LR-2060-S-1500,,236,49.3,25.56
332,V-Slot 20 x 60mm - 20 Series,LR-2060-S-3050,,,,
332,V-Slot 20 x 60mm - 20 Series,LR-2060-S-500,,43,17.96,8.53
356,V-Slot 20 x 60mm - Black - 20 Series,LR-2060-B-1000,,41,35.02,18.85
356,V-Slot 20 x 60mm - Black - 20 Series,LR-2060-B-1500,,16,51.4,28.28
356,V-Slot 20 x 60mm - Black - 20 Series,LR-2060-B-3050,,54,109.56,
356,V-Slot 20 x 60mm - Black - 20 Series,LR-2060-B-500,,73,18.64,
340,V-Slot 20 x 80mm - 20 Series,LR-2080-S-1000,,0,43.73,16.05
340,V-Slot 20 x 80mm - 20 Series,LR-2080-S-1500,,175,64.1,24.09
340,V-Slot 20 x 80mm - 20 Series,LR-2080-S-3050,,,,
340,V-Slot 20 x 80mm - 20 Series,LR-2080-S-500,,20,23.26,8.31
360,V-Slot 20 x 80mm - Black - 20 Series,LR-2080-B-1000,,1,45.52,25.06
360,V-Slot 20 x 80mm - Black - 20 Series,LR-2080-B-1500,,86,66.83,33.89
360,V-Slot 20 x 80mm - Black - 20 Series,LR-2080-B-3050,,,,
360,V-Slot 20 x 80mm - Black - 20 Series,LR-2080-B-500,,89,24.31,
2258,V-Slot 40 x 40mm - 20 Series,LR-4040-S-1000,,261,37.64,25.8
2258,V-Slot 40 x 40mm - 20 Series,LR-4040-S-1500,,153,56.49,38.71
2258,V-Slot 40 x 40mm - 20 Series,LR-4040-S-3050,,,,
100773,V-Slot 40 x 40mm – Black – 20 Series,LR-4040-B-1000,,18,39.38,25.8
100773,V-Slot 40 x 40mm – Black – 20 Series,LR-4040-B-1500,,3,59.06,38.71
100773,V-Slot 40 x 40mm – Black – 20 Series,LR-4040-B-3050,,11,113.3,
4802,V-Slot C-Beam - 20 Series,LR-C-S-1000,,314,64.84,30.46
4802,V-Slot C-Beam - 20 Series,LR-C-S-1500,,199,95.18,45.69
4802,V-Slot C-Beam - 20 Series,LR-C-S-3050,,82,192.1,
4802,V-Slot C-Beam - 20 Series,LR-C-S-500,,106,34.6,15.23
85754,V-Slot C-Beam - Black - 20 Series,LR-C-B-1000,,253,67.83,30.46
85754,V-Slot C-Beam - Black - 20 Series,LR-C-B-1500,,220,99.54,45.69
85754,V-Slot C-Beam - Black - 20 Series,LR-C-B-3050,,,,
85754,V-Slot C-Beam - Black - 20 Series,LR-C-B-500,,155,36.23,15.23
100144,V-Slot C-Beam HEAVY - 20 Series,LR-CHV-S-1000,,19,86.7,30.46
100144,V-Slot C-Beam HEAVY - 20 Series,LR-CHV-S-1500,,143,127.93,45.69
100144,V-Slot C-Beam HEAVY - 20 Series,LR-CHV-S-3050,,,,
100690,V-Slot C-Beam HEAVY - Black - 20 Series,LR-CHV-B-1000,,17,91.08,30.46
100690,V-Slot C-Beam HEAVY - Black - 20 Series,LR-CHV-B-1500,,150,134.49,45.69
100690,V-Slot C-Beam HEAVY - Black - 20 Series,LR-CHV-B-3050,,,,
